Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 40
Nº	Nombre	Total	Por mil ‰
1	JOSE	6.035	105,463
2	VICENTE	5.104	89,193
3	FRANCISCO	3.510	61,338
4	ANTONIO	2.608	45,575
5	MANUEL	1.846	32,259
6	RAFAEL	1.780	31,106
7	SALVADOR	1.647	28,782
8	JUAN	1.640	28,659
9	MIGUEL	1.574	27,506
10	ENRIQUE	1.497	26,160
11	JOSE LUIS	1.301	22,735
12	RAMON	961	16,794
13	JOAQUIN	892	15,588
14	LUIS	808	14,120
15	JOSE MARIA	782	13,666
16	FERNANDO	672	11,743
17	RICARDO	630	11,009
18	JOSE ANTONIO	626	10,939
19	JESUS	593	10,363
20	JOSE VICENTE	558	9,751
21	EMILIO	552	9,646
22	ANGEL	524	9,157
23	JUAN JOSE	523	9,140
24	PEDRO	503	8,790
25	PASCUAL	431	7,532
26	JUAN BAUTISTA	426	7,444
27	JOSE MANUEL	406	7,095
28	EDUARDO	403	7,042
29	CARLOS	385	6,728
30	JUAN ANTONIO	380	6,641
31	JULIO	368	6,431
32	JAIME	341	5,959
33	ALFREDO	287	5,015
34	ANDRES	250	4,369
35	AGUSTIN	243	4,246
36	JOSE RAMON	240	4,194
37	DANIEL	233	4,072
38	JULIAN	224	3,914
39	BERNARDO	222	3,879
40	TOMAS	221	3,862
41	ERNESTO	211	3,687
42	ALBERTO	207	3,617
43	FEDERICO	206	3,600
44	SANTIAGO	196	3,425
45	ROBERTO	195	3,408
46	ALFONSO	183	3,198
47	JOSE MIGUEL	183	3,198
48	JOSE FRANCISCO	177	3,093
49	FRANCISCO JAVIER	176	3,076
50	JUAN MANUEL	167	2,918
51	MIGUEL ANGEL	147	2,569
52	JUAN FRANCISCO	145	2,534
53	ARTURO	143	2,499
54	JUAN VICENTE	141	2,464
55	ALEJANDRO	135	2,359
56	DOMINGO	127	2,219
57	MARIANO	117	2,045
58	BAUTISTA	115	2,010
59	FELIX	112	1,957
60	FRANCISCO JOSE	112	1,957
61	GABRIEL	111	1,940
62	EUGENIO	109	1,905
63	JUAN MIGUEL	105	1,835
64	JOSE ENRIQUE	103	1,800
65	ISMAEL	100	1,748
66	JAVIER	98	1,713
67	VICTOR	97	1,695
68	BLAS	96	1,678
69	ADOLFO	95	1,660
70	GONZALO	95	1,660
71	LORENZO	94	1,643
72	FELIPE	90	1,573
73	ISIDRO	87	1,520
74	GUILLERMO	85	1,485
75	AMADEO	81	1,415
76	BENJAMIN	80	1,398
77	JUAN LUIS	80	1,398
78	JUAN RAMON	80	1,398
79	JOSEP	77	1,346
80	VICENT	76	1,328
81	JORGE	75	1,311
82	IGNACIO	69	1,206
83	AURELIO	68	1,188
84	GERMAN	66	1,153
85	ESTEBAN	63	1,101
86	GERARDO	63	1,101
87	GREGORIO	62	1,083
88	CRISTOBAL	59	1,031
89	MARIO	59	1,031
90	ELIAS	56	0,979
91	SEBASTIAN	56	0,979
