Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Anterior Años 30
Nº	Nombre	Total	Por mil ‰
1	JOSE	212	140,397
2	VICENTE	157	103,974
3	FRANCISCO	109	72,185
4	ANTONIO	87	57,616
5	MANUEL	61	40,397
6	JUAN	56	37,086
7	RAFAEL	52	34,437
8	SALVADOR	49	32,450
9	MIGUEL	44	29,139
10	ENRIQUE	42	27,815
11	JOAQUIN	32	21,192
12	LUIS	27	17,881
13	JOSE MARIA	26	17,219
14	RAMON	24	15,894
15	ANGEL	21	13,907
16	EMILIO	18	11,921
17	EDUARDO	14	9,272
18	RICARDO	14	9,272
19	FERNANDO	13	8,609
20	JESUS	13	8,609
21	PEDRO	13	8,609
22	AGUSTIN	11	7,285
23	ANDRES	11	7,285
24	JULIO	11	7,285
25	JUAN BAUTISTA	9	5,960
26	JOSE LUIS	8	5,298
27	PASCUAL	8	5,298
28	ALBERTO	7	4,636
29	ALFONSO	7	4,636
30	BERNARDO	7	4,636
31	FELIPE	7	4,636
32	JUAN JOSE	7	4,636
33	JULIAN	7	4,636
34	MARIANO	7	4,636
35	ALFREDO	6	3,974
36	CARLOS	6	3,974
37	JAIME	6	3,974
38	ARTURO	5	3,311
39	BAUTISTA	5	3,311
40	GABRIEL	5	3,311
41	ISIDRO	5	3,311
42	LORENZO	5	3,311
43	ROBERTO	5	3,311

NOTAS
0) Sólo se muestran los nombres cuya frecuencia es mayor o igual a 20 para el total nacional. Para las provincias/décadas seleccionadas se exige además una frecuencia de al menos 5. Por esta razón, la frecuencia total para algunos nombres puede no ser igual a la suma de las provincias o décadas que se muestran.  
1) Datos procedentes del Censo anual de población a fecha 01/01/2024
2) (*) Edad media de las personas que tienen ese nombre a nivel nacional.
