Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 2020
Nº	Nombre	Total	Por mil ‰
1	SOFIA	741	21,358
2	LUCIA	738	21,272
3	MARTINA	657	18,937
4	EMMA	554	15,968
5	VALERIA	542	15,622
6	JULIA	523	15,075
7	VEGA	505	14,556
8	MARIA	490	14,123
9	AITANA	449	12,942
10	PAULA	407	11,731
11	LAIA	406	11,702
12	ALMA	401	11,558
13	DANIELA	393	11,328
14	SARA	389	11,212
15	OLIVIA	385	11,097
16	MIA	368	10,607
17	CLAUDIA	363	10,463
18	ALBA	354	10,203
19	CARMEN	354	10,203
20	CARLA	345	9,944
21	LOLA	333	9,598
22	LARA	306	8,820
23	VALENTINA	293	8,445
24	NOA	288	8,301
25	BLANCA	287	8,272
26	CHLOE	286	8,244
27	VERA	278	8,013
28	JIMENA	271	7,811
29	ALEJANDRA	264	7,609
30	ADRIANA	232	6,687
31	GALA	229	6,601
32	TRIANA	223	6,428
33	ZOE	219	6,312
34	VICTORIA	211	6,082
35	MARINA	210	6,053
36	MAR	197	5,678
37	CANDELA	195	5,621
38	INES	187	5,390
39	ONA	186	5,361
40	ANA	184	5,304
41	ELENA	182	5,246
42	ABRIL	179	5,159
43	ARIADNA	177	5,102
44	IRENE	168	4,842
45	MARTA	158	4,554
46	CLARA	155	4,468
47	LIA	151	4,352
48	NORA	146	4,208
49	ROCIO	135	3,891
50	LEIRE	134	3,862
51	INDIA	133	3,834
52	CARLOTA	130	3,747
53	EVA	129	3,718
54	LUNA	127	3,661
55	ALICIA	124	3,574
56	ANDREA	123	3,545
57	NEREA	119	3,430
58	AFRICA	117	3,372
59	LAURA	115	3,315
60	IRIS	109	3,142
61	LEYRE	109	3,142
62	CELIA	102	2,940
63	MANUELA	102	2,940
64	MACARENA	101	2,911
65	ANNA	100	2,882
66	MIREIA	100	2,882
67	AINA	99	2,854
68	CAYETANA	99	2,854
69	AINHOA	98	2,825
70	AINARA	97	2,796
71	ADARA	95	2,738
72	ANGELA	95	2,738
73	ELSA	93	2,681
74	AMAIA	92	2,652
75	GABRIELA	87	2,508
76	CLOE	85	2,450
77	ISABEL	85	2,450
78	MAIA	84	2,421
79	ISABELLA	81	2,335
80	VIOLETA	80	2,306
81	CAROLINA	79	2,277
82	AMIRA	76	2,191
83	DIANA	74	2,133
84	ARIA	71	2,046
85	ELIA	71	2,046
86	NEUS	70	2,018
87	MARA	69	1,989
88	NATALIA	66	1,902
