Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 2020
Nº	Nombre	Total	Por mil ‰
1	MATEO	894	24,177
2	MARC	854	23,095
3	MARTIN	758	20,499
4	HUGO	733	19,823
5	LEO	689	18,633
6	LUCAS	669	18,092
7	PAU	529	14,306
8	PABLO	498	13,468
9	DANIEL	490	13,251
10	ALEJANDRO	473	12,792
11	ENZO	467	12,629
12	ALVARO	377	10,196
13	DIEGO	363	9,817
14	ALEX	351	9,492
15	OLIVER	345	9,330
16	THIAGO	343	9,276
17	ADRIAN	340	9,195
18	LUCA	323	8,735
19	BRUNO	317	8,573
20	DAVID	314	8,492
21	MARIO	314	8,492
22	NICOLAS	278	7,518
23	GAEL	272	7,356
24	MARCOS	270	7,302
25	MANUEL	269	7,275
26	LIAM	249	6,734
27	JOSE	245	6,626
28	MIGUEL	240	6,491
29	CARLOS	235	6,355
30	JOAN	234	6,328
31	GONZALO	233	6,301
32	IZAN	228	6,166
33	ERIC	227	6,139
34	GABRIEL	222	6,004
35	DYLAN	218	5,896
36	MARCO	216	5,841
37	ANGEL	215	5,814
38	JAVIER	211	5,706
39	JORGE	204	5,517
40	RODRIGO	202	5,463
41	HECTOR	191	5,165
42	ANTONIO	187	5,057
43	JUAN	166	4,489
44	GUILLEM	165	4,462
45	IAN	161	4,354
46	SAMUEL	159	4,300
47	FERRAN	158	4,273
48	NOAH	155	4,192
49	ALEIX	152	4,111
50	DARIO	151	4,084
51	SERGIO	148	4,002
52	ERIK	145	3,921
53	SANTIAGO	145	3,921
54	JOEL	142	3,840
55	VICTOR	141	3,813
56	JULEN	136	3,678
57	ANDREU	135	3,651
58	FRANCISCO	135	3,651
59	LUIS	134	3,624
60	GUILLERMO	133	3,597
61	IKER	133	3,597
62	ARNAU	132	3,570
63	RUBEN	130	3,516
64	RAFAEL	129	3,489
65	ADAM	124	3,353
66	ALAN	122	3,299
67	MATIAS	119	3,218
68	AARON	116	3,137
69	ASIER	115	3,110
70	IVAN	114	3,083
71	MARTI	113	3,056
72	AXEL	105	2,840
73	NEIZAN	105	2,840
74	JAIME	101	2,731
75	PEDRO	101	2,731
76	UNAI	100	2,704
77	SAUL	97	2,623
78	NICO	96	2,596
79	CARLES	92	2,488
80	POL	89	2,407
81	LEONARDO	85	2,299
82	MAXIMO	84	2,272
83	AMIR	83	2,245
84	ANDRES	83	2,245
85	JESUS	82	2,218
86	JAUME	81	2,191
87	XAVI	80	2,164
88	RAUL	78	2,109
89	ARES	77	2,082
90	AITOR	76	2,055
91	ISAAC	75	2,028
92	VICENTE	75	2,028
93	ANDER	73	1,974
94	ENRIQUE	72	1,947
95	MIQUEL	72	1,947
96	MOHAMED	72	1,947
97	VICENT	71	1,920
98	JORDI	70	1,893
99	GERARD	69	1,866
100	ELIAS	68	1,839
101	IGNACIO	68	1,839
102	CRISTIAN	66	1,785
103	MAURO	66	1,785
104	ISMAEL	65	1,758
105	ARITZ	64	1,731
