Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 30
Nº	Nombre	Total	Por mil ‰
1	MARIA	2.812	77,242
2	CARMEN	2.794	76,748
3	AMPARO	2.291	62,931
4	JOSEFA	2.131	58,536
5	CONCEPCION	1.331	36,561
6	DOLORES	1.330	36,533
7	VICENTA	1.266	34,775
8	PILAR	981	26,947
9	ROSA	958	26,315
10	FRANCISCA	924	25,381
11	TERESA	916	25,161
12	ISABEL	909	24,969
13	CONSUELO	793	21,783
14	JOSEFINA	554	15,218
15	ENCARNACION	539	14,806
16	MARIA CARMEN	535	14,696
17	ANGELES	451	12,388
18	MERCEDES	446	12,251
19	ROSARIO	426	11,702
20	ASUNCION	379	10,411
21	DESAMPARADOS	374	10,273
22	MARIA DOLORES	373	10,246
23	EMILIA	334	9,175
24	ANA	328	9,010
25	MARIA TERESA	315	8,653
26	JULIA	298	8,186
27	ANTONIA	291	7,993
28	REMEDIOS	273	7,499
29	ELVIRA	268	7,362
30	MARIA PILAR	252	6,922
31	MARIA LUISA	251	6,895
32	TRINIDAD	240	6,593
33	MANUELA	219	6,016
34	JUANA	202	5,549
35	MILAGROS	196	5,384
36	MATILDE	191	5,247
37	PURIFICACION	187	5,137
38	LUISA	184	5,054
39	ANGELA	160	4,395
40	NIEVES	160	4,395
41	ADELA	153	4,203
42	MARIA ANGELES	153	4,203
43	ENRIQUETA	152	4,175
44	ANA MARIA	145	3,983
45	MARIA AMPARO	137	3,763
46	ELISA	129	3,543
47	AMALIA	122	3,351
48	MARIA ISABEL	122	3,351
49	MARIA JOSEFA	122	3,351
50	MARINA	117	3,214
51	MARIA ROSA	114	3,131
52	ELENA	112	3,077
53	MARIA DESAMPARADOS	112	3,077
54	AMELIA	109	2,994
55	GLORIA	99	2,719
56	LEONOR	98	2,692
57	VICTORIA	97	2,664
58	AURORA	94	2,582
59	NATIVIDAD	92	2,527
60	HERMINIA	78	2,143
61	JOAQUINA	77	2,115
62	FILOMENA	76	2,088
63	MARIA LUZ	75	2,060
64	MARIA CONCEPCION	72	1,978
65	MARGARITA	70	1,923
66	RAFAELA	70	1,923
67	INES	66	1,813
68	SALVADORA	63	1,731
69	ESPERANZA	60	1,648
70	MILAGRO	60	1,648
