Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 70
Nº	Nombre	Total	Por mil ‰
1	MARIA CARMEN	6.425	37,959
2	MARIA JOSE	5.806	34,302
3	RAQUEL	3.775	22,303
4	MARIA AMPARO	3.523	20,814
5	CRISTINA	3.413	20,164
6	MARIA DOLORES	3.289	19,431
7	MARIA TERESA	3.280	19,378
8	ANA MARIA	3.122	18,445
9	MARIA PILAR	2.976	17,582
10	LAURA	2.866	16,932
11	EVA MARIA	2.790	16,483
12	SILVIA	2.731	16,135
13	MARIA ISABEL	2.708	15,999
14	YOLANDA	2.702	15,963
15	INMACULADA	2.583	15,260
16	MARIA ANGELES	2.552	15,077
17	SUSANA	2.515	14,859
18	MONICA	2.497	14,752
19	SONIA	2.391	14,126
20	ROSA MARIA	2.100	12,407
21	MARIA	2.050	12,111
22	ANA	1.833	10,829
23	ISABEL	1.730	10,221
24	NURIA	1.674	9,890
25	ALICIA	1.671	9,872
26	AMPARO	1.655	9,778
27	BEATRIZ	1.634	9,654
28	MARIA MAR	1.590	9,394
29	VERONICA	1.426	8,425
30	MARTA	1.419	8,383
31	ANA ISABEL	1.415	8,360
32	ELENA	1.403	8,289
33	MARIA LUISA	1.355	8,005
34	CARMEN	1.343	7,934
35	EVA	1.340	7,917
36	ESTHER	1.302	7,692
37	CAROLINA	1.294	7,645
38	PATRICIA	1.176	6,948
39	NOELIA	1.162	6,865
40	MARIA JESUS	1.113	6,576
41	ANA BELEN	1.037	6,127
42	FRANCISCA	1.037	6,127
43	PILAR	1.020	6,026
44	BEGOÑA	924	5,459
45	LORENA	886	5,234
46	MARIA DESAMPARADOS	856	5,057
47	SANDRA	828	4,892
48	JOSEFA	814	4,809
49	MERCEDES	783	4,626
50	MARIA MERCEDES	773	4,567
51	LUCIA	772	4,561
52	ENCARNACION	765	4,520
53	CONCEPCION	752	4,443
54	VANESSA	715	4,224
55	GEMMA	696	4,112
56	SARA	672	3,970
57	MARIA ELENA	649	3,834
58	ESTER	635	3,752
59	GEMA	590	3,486
60	DOLORES	588	3,474
61	OLGA	574	3,391
62	MARIA CRISTINA	571	3,373
63	NATALIA	563	3,326
64	MARIA VICTORIA	559	3,303
65	TERESA	559	3,303
66	ROSA	549	3,243
67	CONSUELO	545	3,220
68	ROSA ANA	537	3,173
69	MARIA CONSUELO	519	3,066
70	LOURDES	515	3,043
71	MANUELA	500	2,954
72	ROCIO	494	2,919
73	VANESA	489	2,889
74	MARIA INMACULADA	487	2,877
75	MARIA ROSARIO	484	2,859
76	MARIA NIEVES	483	2,854
77	ANTONIA	476	2,812
78	MARIA BELEN	458	2,706
79	IRENE	450	2,659
80	MARGARITA	442	2,611
81	PAULA	438	2,588
82	MONTSERRAT	415	2,452
83	DESAMPARADOS	406	2,399
84	LIDIA	400	2,363
85	MARIA VICENTA	399	2,357
86	ROSARIO	399	2,357
87	JUANA	398	2,351
88	MARIA JOSEFA	398	2,351
89	VICENTA	390	2,304
90	REBECA	387	2,286
91	JULIA	386	2,280
92	ESTEFANIA	377	2,227
93	VIRGINIA	368	2,174
94	MARIA PAZ	364	2,150
95	MARIA ASUNCION	360	2,127
96	MARIA LUZ	352	2,080
97	MARIA SOLEDAD	342	2,021
98	BELEN	340	2,009
99	GLORIA	331	1,956
100	MARIA EUGENIA	329	1,944
101	MARIA SONIA	325	1,920
102	SOFIA	324	1,914
103	ASUNCION	320	1,891
104	MARIA ROSA	320	1,891
105	ANGELES	316	1,867
106	ELISA	309	1,826
107	ANGELA	297	1,755
108	ROSANA	285	1,684
109	PALOMA	283	1,672
110	MARIA ANTONIA	279	1,648
111	CARMEN MARIA	278	1,642
112	ALMUDENA	277	1,637
113	ARANZAZU	275	1,625
114	CELIA	272	1,607
115	MARIA SANDRA	269	1,589
116	ELVIRA	265	1,566
117	MILAGROS	261	1,542
118	MARIA ESTHER	260	1,536
119	JOSEFINA	258	1,524
120	ISABEL MARIA	256	1,512
121	EMILIA	253	1,495
122	RUTH	253	1,495
123	INES	252	1,489
124	MARINA	250	1,477
125	MARIA LOURDES	249	1,471
126	CLARA	248	1,465
127	MARIA JULIA	242	1,430
128	VICTORIA	240	1,418
129	AURORA	238	1,406
130	MARIA TRINIDAD	238	1,406
131	ARACELI	237	1,400
132	MARIA REMEDIOS	236	1,394
133	NOEMI	234	1,382
134	SOLEDAD	222	1,312
135	NATIVIDAD	220	1,300
136	MARIA BEGOÑA	219	1,294
137	MARIA CRUZ	219	1,294
138	ESPERANZA	218	1,288
139	PURIFICACION	218	1,288
140	REMEDIOS	215	1,270
141	ALEJANDRA	205	1,211
142	MIRIAM	205	1,211
143	ADELA	196	1,158
144	LUISA	193	1,140
145	MARIA FRANCISCA	193	1,140
146	MATILDE	192	1,134
147	MARIA LORENA	185	1,093
148	INMACULADA CONCEPCION	176	1,040
149	BARBARA	173	1,022
150	MARIA ENCARNACION	171	1,010
151	ELENA MARIA	166	0,981
