Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Anterior Años 30
Nº	Nombre	Total	Por mil ‰
1	MARIA	358	80,794
2	CARMEN	339	76,506
3	AMPARO	301	67,930
4	JOSEFA	255	57,549
5	CONCEPCION	176	39,720
6	DOLORES	165	37,238
7	VICENTA	163	36,786
8	TERESA	135	30,467
9	CONSUELO	114	25,728
10	PILAR	113	25,502
11	ROSA	108	24,374
12	FRANCISCA	106	23,922
13	ISABEL	97	21,891
14	MERCEDES	65	14,669
15	ENCARNACION	63	14,218
16	ROSARIO	62	13,992
17	ASUNCION	59	13,315
18	ANGELES	56	12,638
19	REMEDIOS	52	11,735
20	DESAMPARADOS	51	11,510
21	MARIA DOLORES	51	11,510
22	JOSEFINA	45	10,156
23	JULIA	42	9,479
24	ANA	39	8,802
25	EMILIA	36	8,125
26	ANTONIA	34	7,673
27	ELVIRA	34	7,673
28	MARIA CARMEN	34	7,673
29	MATILDE	31	6,996
30	ADELA	30	6,770
31	TRINIDAD	29	6,545
32	MARIA DESAMPARADOS	28	6,319
33	ENRIQUETA	27	6,093
34	PURIFICACION	26	5,868
35	ANGELA	25	5,642
36	MARIA PILAR	25	5,642
37	MILAGROS	24	5,416
38	MARIA ANGELES	23	5,191
39	MARIA TERESA	21	4,739
40	MARINA	21	4,739
41	MANUELA	20	4,514
42	NIEVES	20	4,514
43	AMELIA	19	4,288
44	MARIA LUISA	19	4,288
45	JUANA	18	4,062
46	LUISA	17	3,837
47	ANA MARIA	16	3,611
48	ELISA	16	3,611
49	GLORIA	16	3,611
50	AMALIA	15	3,385
51	LEONOR	15	3,385
52	MARIA AMPARO	15	3,385
53	JOAQUINA	14	3,160
54	INES	13	2,934
55	MARIA CONCEPCION	13	2,934
56	MARIA JOSEFA	13	2,934
57	ELENA	11	2,483
58	IRENE	10	2,257
59	MARIA ROSARIO	10	2,257
60	VICTORIA	10	2,257
61	MARIA CONSUELO	9	2,031
62	MILAGRO	9	2,031
63	RAFAELA	9	2,031
64	ROSALIA	9	2,031
65	ADELINA	8	1,805
66	AURELIA	8	1,805
67	AURORA	8	1,805
68	HERMINIA	8	1,805
69	NATIVIDAD	8	1,805
70	REGINA	8	1,805
71	AGUSTINA	7	1,580
72	ASCENSION	7	1,580
73	CLOTILDE	7	1,580
74	ESPERANZA	7	1,580
75	FILOMENA	7	1,580
76	GUADALUPE	7	1,580
77	LUCIA	7	1,580
78	MARGARITA	7	1,580
79	MARIA ASUNCION	7	1,580
80	BIENVENIDA	6	1,354
81	CECILIA	6	1,354
82	FELICIDAD	6	1,354
83	MARIA CRUZ	6	1,354
84	MARIA NIEVES	6	1,354
85	MARIA ROSA	6	1,354
86	NATALIA	6	1,354
87	RAMONA	6	1,354
88	VIRGINIA	6	1,354
89	ANGELINA	5	1,128
90	ARACELI	5	1,128
91	BARBARA	5	1,128
92	BRIGIDA	5	1,128
93	CONCHA	5	1,128
94	EDELMIRA	5	1,128
95	HORTENSIA	5	1,128
96	MODESTA	5	1,128
97	SALVADORA	5	1,128
98	SERAFINA	5	1,128

NOTAS
0) Sólo se muestran los nombres cuya frecuencia es mayor o igual a 20 para el total nacional. Para las provincias/décadas seleccionadas se exige además una frecuencia de al menos 5. Por esta razón, la frecuencia total para algunos nombres puede no ser igual a la suma de las provincias o décadas que se muestran.  
1) Datos procedentes del Censo anual de población a fecha 01/01/2024
2) (*) Edad media de las personas que tienen ese nombre a nivel nacional.
