Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 2000
Nº	Nombre	Total	Por mil ‰
1	ALEJANDRO	4.131	32,686
2	PABLO	4.078	32,266
3	DAVID	3.334	26,380
4	ADRIAN	3.091	24,457
5	DANIEL	2.802	22,170
6	CARLOS	2.685	21,245
7	JAVIER	2.616	20,699
8	ALVARO	2.437	19,282
9	SERGIO	2.301	18,206
10	JORGE	2.225	17,605
11	MARCOS	2.057	16,276
12	IVAN	2.035	16,102
13	HUGO	2.034	16,094
14	MARC	1.836	14,527
15	PAU	1.771	14,013
16	RUBEN	1.733	13,712
17	VICTOR	1.615	12,778
18	JOAN	1.557	12,319
19	DIEGO	1.549	12,256
20	MARIO	1.521	12,035
21	HECTOR	1.514	11,979
22	RAUL	1.501	11,876
23	MIGUEL	1.472	11,647
24	JOSE	1.401	11,085
25	OSCAR	1.274	10,080
26	ALEX	1.144	9,052
27	ANTONIO	1.032	8,166
28	LUCAS	999	7,904
29	FRANCISCO	990	7,833
30	IGNACIO	968	7,659
31	ANGEL	927	7,335
32	JUAN	912	7,216
33	ALBERTO	899	7,113
34	IZAN	855	6,765
35	MANUEL	840	6,646
36	AARON	807	6,385
37	LUIS	807	6,385
38	GUILLERMO	763	6,037
39	NICOLAS	762	6,029
40	ENRIQUE	741	5,863
41	RAFAEL	741	5,863
42	VICENTE	729	5,768
43	CARLES	728	5,760
44	IKER	705	5,578
45	SAMUEL	694	5,491
46	CRISTIAN	693	5,483
47	JORDI	672	5,317
48	BORJA	667	5,278
49	JOSEP	639	5,056
50	ANDREU	624	4,937
51	JESUS	596	4,716
52	SERGI	590	4,668
53	JAIME	584	4,621
54	JOEL	582	4,605
55	VICENT	581	4,597
56	ANDRES	560	4,431
57	MIGUEL ANGEL	555	4,391
58	GABRIEL	542	4,288
59	CHRISTIAN	498	3,940
60	SANTIAGO	498	3,940
61	PEDRO	497	3,932
62	FERNANDO	493	3,901
63	AITOR	490	3,877
64	SALVADOR	479	3,790
65	ROBERTO	464	3,671
66	JAUME	463	3,663
67	GUILLEM	462	3,655
68	ISMAEL	458	3,624
69	FERRAN	440	3,481
70	GONZALO	436	3,450
71	ERIC	397	3,141
72	FRANCISCO JAVIER	368	2,912
73	KEVIN	366	2,896
74	JUAN JOSE	365	2,888
75	EDUARDO	359	2,841
76	CESAR	355	2,809
77	JOSE LUIS	343	2,714
78	MIQUEL	339	2,682
79	ARNAU	333	2,635
80	XAVIER	329	2,603
81	ADRIA	325	2,572
82	MARTIN	325	2,572
83	RICARDO	317	2,508
84	JOSE ANTONIO	306	2,421
85	JOSE MANUEL	286	2,263
86	ERIK	285	2,255
87	JOAQUIN	281	2,223
88	DARIO	279	2,208
89	MARCO	273	2,160
90	RODRIGO	272	2,152
91	RAMON	250	1,978
92	MATEO	247	1,954
93	EDGAR	245	1,939
94	JONATHAN	241	1,907
95	NACHO	241	1,907
96	JOSE VICENTE	240	1,899
97	ASIER	239	1,891
98	ARTURO	227	1,796
99	JUAN CARLOS	226	1,788
100	ISAAC	220	1,741
101	MANEL	219	1,733
102	JOSE MARIA	210	1,662
103	JOSE MIGUEL	209	1,654
104	GERARD	204	1,614
105	ABEL	201	1,590
106	JULIO	198	1,567
107	ALEXANDRE	195	1,543
108	BRUNO	195	1,543
109	FRANCESC	191	1,511
110	SAUL	189	1,495
111	EMILIO	178	1,408
112	ALBERT	175	1,385
113	FRANCISCO JOSE	171	1,353
114	JUAN MANUEL	168	1,329
115	GERMAN	167	1,321
116	JUAN ANTONIO	164	1,298
117	TOMAS	162	1,282
118	ENRIC	157	1,242
119	LLUIS	156	1,234
120	MAURO	155	1,226
121	ADAM	152	1,203
122	ELOY	152	1,203
123	UNAI	150	1,187
124	OMAR	146	1,155
125	NESTOR	138	1,092
126	SEBASTIAN	136	1,076
127	JACOBO	132	1,044
128	BRIAN	131	1,037
129	YERAY	131	1,037
130	MOHAMED	128	1,013
131	ALAN	126	0,997
132	JULIAN	125	0,989
133	YAGO	125	0,989
134	IAN	124	0,981
135	ALEXIS	123	0,973
136	ANTONI	122	0,965
137	XIMO	121	0,957
138	ALFONSO	117	0,926
139	ELIAS	116	0,918
140	ISRAEL	112	0,886
141	AGUSTIN	108	0,855
142	XAVI	108	0,855
143	MOISES	107	0,847
144	ALFREDO	106	0,839
145	JUAN FRANCISCO	102	0,807
146	PEPE	97	0,767
147	DIDAC	96	0,760
148	ESTEBAN	94	0,744
149	LUIS MIGUEL	94	0,744
150	ALEXANDER	89	0,704
151	GORKA	87	0,688
152	BERNAT	85	0,673
153	JAIRO	82	0,649
154	JOSE RAMON	82	0,649
155	JUAN PABLO	82	0,649
156	ROBERT	82	0,649
157	TONI	80	0,633
158	FELIPE	79	0,625
159	BRYAN	78	0,617
160	JUAN VICENTE	78	0,617
161	EDUARD	77	0,609
162	DAMIAN	76	0,601
163	DENIS	76	0,601
164	LUCA	76	0,601
165	JUAN MIGUEL	75	0,593
166	JULEN	75	0,593
167	JOSE JAVIER	73	0,578
168	LEO	73	0,578
169	LORENZO	73	0,578
170	ABRAHAM	72	0,570
171	ALEIX	71	0,562
172	ERNESTO	71	0,562
173	ROMAN	71	0,562
174	ETHAN	70	0,554
175	JOSE ENRIQUE	70	0,554
176	JOSE FRANCISCO	69	0,546
177	JOSE IGNACIO	68	0,538
178	VICTOR MANUEL	66	0,522
179	LLORENÇ	64	0,506
180	JUAN LUIS	61	0,483
181	LEONARDO	61	0,483
182	NOEL	61	0,483
183	BENJAMIN	60	0,475
184	FELIX	60	0,475
185	JONATAN	59	0,467
186	JOSE DAVID	59	0,467
187	MATIAS	58	0,459
188	PASCUAL	58	0,459
189	MARTI	57	0,451
190	ALONSO	55	0,435
191	GAEL	55	0,435
192	MARK	55	0,435
193	NOAH	55	0,435
194	BLAI	54	0,427
195	RAYAN	54	0,427
196	AUSIAS	53	0,419
197	YOEL	52	0,411
198	JOSE ANGEL	51	0,404
199	SIMON	51	0,404
200	VALENTIN	51	0,404
201	AYOUB	50	0,396
202	JOSE CARLOS	50	0,396
203	FEDERICO	49	0,388
204	JOSUE	49	0,388
205	FRAN	48	0,380
206	IÑAKI	48	0,380
207	YOUSSEF	46	0,364
208	AXEL	45	0,356
209	NOE	45	0,356
210	DYLAN	44	0,348
211	JUAN RAMON	44	0,348
212	ARTUR	43	0,340
213	DEREK	43	0,340
214	MICHAEL	43	0,340
215	TEO	43	0,340
216	YASSIN	43	0,340
217	ANAS	42	0,332
218	NAIM	42	0,332
219	OLIVER	42	0,332
220	PERE	41	0,324
221	YERAI	41	0,324
222	CRISTOBAL	40	0,316
223	ISIDRO	40	0,316
224	JUAN DAVID	40	0,316
225	ORIOL	40	0,316
226	RAFA	40	0,316
227	AIMAR	39	0,309
228	ARIEL	39	0,309
229	BILAL	39	0,309
230	JOSE DANIEL	39	0,309
231	ANTONIO JOSE	38	0,301
232	AYMAN	38	0,301
233	CONSTANTINO	38	0,301
234	EZEQUIEL	37	0,293
235	IAGO	37	0,293
236	MARCO ANTONIO	37	0,293
237	MAXIM	37	0,293
238	PABLO JOSE	37	0,293
239	AMIN	36	0,285
240	DANI	36	0,285
241	FRANK	36	0,285
242	ERNEST	35	0,277
