Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 30
Nº	Nombre	Total	Por mil ‰
1	JOSE	2.846	143,303
2	VICENTE	1.990	100,201
3	FRANCISCO	1.392	70,091
4	ANTONIO	973	48,993
5	JUAN	785	39,527
6	MANUEL	766	38,570
7	RAFAEL	677	34,089
8	ENRIQUE	620	31,219
9	SALVADOR	591	29,758
10	MIGUEL	568	28,600
11	RAMON	411	20,695
12	JOAQUIN	369	18,580
13	LUIS	340	17,120
14	RICARDO	240	12,085
15	FERNANDO	222	11,178
16	EMILIO	217	10,926
17	JOSE MARIA	211	10,624
18	JESUS	192	9,668
19	ANGEL	191	9,617
20	PASCUAL	172	8,661
21	EDUARDO	171	8,610
22	PEDRO	171	8,610
23	JULIO	151	7,603
24	JOSE LUIS	141	7,100
25	JOSE ANTONIO	136	6,848
26	CARLOS	135	6,798
27	JAIME	125	6,294
28	ALFREDO	116	5,841
29	JUAN BAUTISTA	106	5,337
30	ANDRES	99	4,985
31	AGUSTIN	85	4,280
32	DANIEL	85	4,280
33	JULIAN	84	4,230
34	TOMAS	84	4,230
35	ARTURO	79	3,978
36	ALBERTO	77	3,877
37	FEDERICO	75	3,776
38	ROBERTO	73	3,676
39	JUAN JOSE	71	3,575
40	BERNARDO	70	3,525
41	ERNESTO	68	3,424
42	BAUTISTA	67	3,374
43	SANTIAGO	63	3,172
44	MARIANO	56	2,820
45	DOMINGO	55	2,769
46	FELIPE	54	2,719
47	JUAN ANTONIO	54	2,719
48	EUGENIO	52	2,618
49	ALFONSO	51	2,568
50	ISMAEL	51	2,568
51	GABRIEL	46	2,316
52	ALEJANDRO	44	2,216
53	VICTOR	42	2,115
54	ADOLFO	41	2,064
55	FELIX	40	2,014
56	GONZALO	40	2,014
57	MARIO	40	2,014
58	GERMAN	39	1,964
59	JOSE VICENTE	38	1,913
60	BLAS	36	1,813
61	ISIDRO	32	1,611
62	LORENZO	31	1,561
63	ELISEO	30	1,511
64	AMADEO	28	1,410
65	JOSE MANUEL	28	1,410
66	JOSE RAMON	27	1,360
67	BENJAMIN	26	1,309
68	ESTEBAN	26	1,309
69	GERARDO	26	1,309
70	AURELIO	25	1,259
71	LEOPOLDO	25	1,259
72	ELIAS	24	1,208
73	SEBASTIAN	24	1,208
74	GUILLERMO	23	1,158
75	PABLO	23	1,158
76	EVARISTO	22	1,108
77	GREGORIO	22	1,108
78	JUSTO	22	1,108
79	NICOLAS	22	1,108
80	CONSTANTINO	21	1,057
81	CRISTOBAL	21	1,057
82	MARCELINO	21	1,057
83	OCTAVIO	21	1,057
84	JUAN MANUEL	20	1,007
85	ROGELIO	20	1,007
86	ARMANDO	19	0,957
87	CARMELO	19	0,957
88	DAVID	19	0,957
89	FERMIN	19	0,957
90	GASPAR	19	0,957
91	ABELARDO	18	0,906
92	DIEGO	18	0,906
93	AMADOR	17	0,856
94	JOSEP	17	0,856
95	MARCIAL	17	0,856
96	VALENTIN	17	0,856
97	CESAR	16	0,806
98	FILIBERTO	16	0,806
99	VICTORIANO	16	0,806
100	EUSEBIO	15	0,755
101	IGNACIO	15	0,755
102	JORGE	15	0,755
103	MARTIN	15	0,755
104	TEODORO	15	0,755
105	AVELINO	14	0,705
106	BALTASAR	14	0,705
107	CLAUDIO	14	0,705
108	DIONISIO	14	0,705
109	FAUSTINO	14	0,705
110	FLORENCIO	14	0,705
111	LUCIO	14	0,705
112	VIRGILIO	14	0,705
113	BASILIO	13	0,655
