Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 40
Nº	Nombre	Total	Por mil ‰
1	MARIA CARMEN	4.146	55,553
2	JOSEFA	3.790	50,783
3	CARMEN	3.744	50,166
4	AMPARO	3.731	49,992
5	MARIA	2.818	37,759
6	CONCEPCION	2.332	31,247
7	VICENTA	2.042	27,361
8	DOLORES	1.848	24,761
9	MARIA DOLORES	1.729	23,167
10	PILAR	1.727	23,140
11	FRANCISCA	1.690	22,644
12	MARIA TERESA	1.585	21,238
13	ROSA	1.553	20,809
14	ISABEL	1.414	18,946
15	CONSUELO	1.407	18,853
16	TERESA	1.272	17,044
17	MARIA PILAR	1.254	16,802
18	ENCARNACION	1.010	13,533
19	JOSEFINA	981	13,144
20	MARIA ISABEL	976	13,078
21	DESAMPARADOS	966	12,944
22	MERCEDES	926	12,408
23	MARIA AMPARO	882	11,818
24	MARIA ANGELES	874	11,711
25	ROSARIO	825	11,054
26	MARIA LUISA	796	10,666
27	ANGELES	727	9,741
28	MARIA DESAMPARADOS	683	9,152
29	MARIA JOSEFA	651	8,723
30	ASUNCION	602	8,066
31	ANA MARIA	576	7,718
32	EMILIA	546	7,316
33	ANA	541	7,249
34	ANTONIA	527	7,061
35	JULIA	514	6,887
36	ROSA MARIA	481	6,445
37	REMEDIOS	460	6,164
38	MARIA ROSA	447	5,989
39	ELVIRA	423	5,668
40	JUANA	405	5,427
41	MANUELA	403	5,400
42	MARIA JOSE	386	5,172
43	MARIA CONCEPCION	367	4,917
44	TRINIDAD	363	4,864
45	MATILDE	362	4,850
46	PURIFICACION	339	4,542
47	MILAGROS	333	4,462
48	MARIA ROSARIO	303	4,060
49	MARIA CONSUELO	285	3,819
50	ENRIQUETA	271	3,631
51	ADELA	267	3,578
52	MARIA NIEVES	259	3,470
53	NIEVES	250	3,350
54	ANGELA	247	3,310
55	LUISA	240	3,216
56	ELISA	231	3,095
57	MARIA ASUNCION	225	3,015
58	ELENA	224	3,001
59	MARIA MERCEDES	215	2,881
60	MARIA ANTONIA	207	2,774
61	MARIA JESUS	197	2,640
62	MARIA VICENTA	197	2,640
63	GLORIA	190	2,546
